,Item,,Rarity,,Value,,Range,,Demand,,Stability,,Obtainability
,,,,,,,,,,,,,
,True Dragon Slayer,,Contraband,,Owner's choice,,Owner's choice,,N/A,,N/A,,Halloween Crates
,,,,,,,,,,,,,
,Mystery Crate (Contraband),,Contraband,,"100,000",,"80,000  -  110,000",,Low,,Stable,,N/A
,,,,,,,,,,,,,
,CustomBeam,,Contraband,,"90,000",,"70,000  -  150,000",,Medium,,Stable,,Shop
,,,,,,,,,,,,,
,Ear Breaker,,Contraband,,???,,???,,N/A,,N/A,,Admin
,,,,,,,,,,,,,
,Leg of Doom,,Contraband,,???,,???,,N/A,,N/A,,Admin
,,,,,,,,,,,,,
,Purple Knife Aura,,Mythical,,Owner's choice,,Owner's choice,,Low,,Stable,,N/A
,,,,,,,,,,,,,
,Void Crescendo,,Mythical,,Owner's choice,,Owner's choice,,N/A,,N/A,,N/A
,,,,,,,,,,,,,
,Dragon Slayer,,Mythical,,"250,000",,"225,000  -  300,000",,Normal,,Rising,,Mystery Crates
,,,,,,,,,,,,,
,Soulscendo,,Mythical,,"75,000",,"55,000  -  80,000",,Normal,,Rising,,Mystery Crates
,,,,,,,,,,,,,
,Hyperbeam,,Mythical,,"15,000",,"15,000  -  35,000",,Normal,,Stable,,Shop
,,,,,,,,,,,,,
,Ban Hammer,,Mythical,,"9,000",,"9,000  -  14,000",,Normal,,Stable,,Shop
,,,,,,,,,,,,,
,Headless Horror,,Legendary,,Owner's choice,,Owner's choice,,High,,Stable,,Festive Gift
,,,,,,,,,,,,,
,Flambe Karambit,,Legendary,,"700,000",,"650,000  -  900,000",,High,,Unstable,,Halloween Crates
,,,,,,,,,,,,,
,Scream,,Legendary,,"450,000",,"400,000  -  600,000",,High,,Declining,,Halloween Crates
,,,,,,,,,,,,,
,Null,,Legendary,,"300,000",,"275,000  -  350,000",,High,,Declining,,Halloween Crates
,,,,,,,,,,,,,
,Karambit,,Legendary,,"275,000",,"275,000 - 325,000",,High,,Stable,,Mystery Crates
,,,,,,,,,,,,,
, Subspace Tripmine,,Legendary,,"275,000",,"275,000  -  300,000",,Medium,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Anvil,,Legendary,,"260,000",,"250,000  -  350,000",,Medium,,Declining,,N/A
,,,,,,,,,,,,,
,Scissors,,Legendary,,"145,000",,"125,000  -  140,000",,Normal,,Rising,,Mystery Crates
,,,,,,,,,,,,,
,D.J,,Legendary,,"125,000",,"115,000  -  135,000",,Normal,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Nokia Hammer,,Legendary,,"115,000",,"100,000  -  120,000",,Low,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Sacrifice Scythe,,Legendary,,"50,000",,"45,000  -  75,000",,Medium,,Stable,,"777 in "" .roll "" chat command"
,,,,,,,,,,,,,
,Tactical RayGun,,Legendary,,"60,000",,"60,000",,Low,,Stable,,Shop
,,,,,,,,,,,,,
,Burning Flames,,Legendary,,"30,000",,"25,000  -  30,000",,Low,,Stable,,Rare Mystery Crate
,,,,,,,,,,,,,
,Galaxy Knife,,Legendary,,"8,500",,"8,500",,Low,,Stable,,Shop
,,,,,,,,,,,,,
,Deathbeam,,Legendary,,"6,000",,"6,000  -  12,000",,Normal,,Stable,,Shop
,,,,,,,,,,,,,
,Kevlar Vest,,Unique,,Owner's Choice,,Owner's Choice,,N/A,,N/A,,Festive Gift
,,,,,,,,,,,,,
,Ice Karambit,,Unique,,"450,000",,"450,000  -  550,000",,High,,Stable,,Festive Gift
,,,,,,,,,,,,,
,Dark Raygun,,Unique,,"150,000",,"140,000  -  160,000",,Normal,,Unstable,,Halloween Crates
,,,,,,,,,,,,,
,Check V,,Unique,,"140,000",,"130,000  -  170,000",,Medium,,Stable,,Crafting
,,,,,,,,,,,,,
,Shuriken,,Unique,,"125,000",,"110,000  -  150,000",,Medium,,Stable,,Rare Mystery Crate
,,,,,,,,,,,,,
,Piano Breaker,,Unique,,"80,000",,"70,000  -  100,000",,High,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Tix Knife,,Unique,,"70,000",,"65,000  -  75,000",,Normal,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Paintball Gun,,Unique,,"60,000",,"50,000  -  70,000",,Normal,,Stable,,Rare Mystery Crate
,,,,,,,,,,,,,
,Root Beer,,Unique,,"45,000",,"35,000 - 50,000",,Medium,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Phantom AWP,,Unique,,"40,000",,"35,000 - 40,000",,Normal,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Lost & Soul,,Unique,,"19,000",,"18,000 - 21,000",,Normal,,Stable,,Crafting
,,,,,,,,,,,,,
,Microsoft,,Unique,,"15,000",,"10,000  -  15,000",,Low,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Halloween Crates (Robux),,Unique,,"12,000",,"10,000 - 20,000",,High,,Stable,,Shop
,,,,,,,,,,,,,
,Tact,,Unique,,"5,000",,"5,000",,Normal,,Stable,,Shop
,,,,,,,,,,,,,
,Treasure Vault,,Unique,,"5,000",,"5,000",,Low,,Stable,,Festive Gift
,,,,,,,,,,,,,
,Crescendo,,Unique,,"3,500",,"3,500",,Low,,Stable,,Shop
,,,,,,,,,,,,,
,Dearest Graditude,,Unique,,"1,000",,"1,000",,Low,,Stable,,Shop
,,,,,,,,,,,,,
,Golden Wrench,,Unique,,"1,000",,"1,000",,Low,,Stable,,Shop
,,,,,,,,,,,,,
,Check IV,,Epic,,"60,000",,"60,000  -  80,000",,High,,Stable,,Crafting
,,,,,,,,,,,,,
,Check III,,Epic,,"30,000",,"30,000",,Medium,,Stable,,Crafting
,,,,,,,,,,,,,
,Tombstoner,,Epic,,"20,000",,"20,000",,Normal,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Bone Knife,,Epic,,"15,000",,"15,000",,Normal,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Lost,,Epic,,"15,000",,"15,000",,Medium,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Blackheart,,Epic,,"12,000",,"12,000",,Normal,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Check II,,Epic,,"15,000",,"15,000",,Normal,,Stable,,Crafting
,,,,,,,,,,,,,
,Void,,Epic,,"10,000",,"10,000",,Normal,,Stable,,Halloween Crates
,,,,,,,,,,,,,
,Soul,,Epic,,"6,000",,"6,000",,Low,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Check I,,Epic,,"7,000",,"7,000",,Normal,,Stable,,Mystery Crates
,,,,,,,,,,,,,
,Halloween Crates (Gems),,Epic,,"3,500",,"3,500 - 7,000",,Medium,,Stable,,Shop
,,,,,,,,,,,,,
,Crowbar,,Epic,,"2,500",,"2,500",,Low,,Stable,,Mystery Crates
,,,,,,,,,,,,,
